R255,G0,B0
R255,G0,B0
R255,G0,B0
R255,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B0
R0,G0,B255
